26.9090909090909	21.6470588235294	27.0344827586207	20.4651162790698	22.0952380952381	18.9767441860465
21.4545454545455	16	20.4137931034483	17.4883720930233	19.0476190476191	.
16	19.7647058823529	16	17.4883720930233	16	16
18.7272727272727	16	16	17.4883720930233	16	16
26.9090909090909	16	20.4137931034483	.	.	29.3953488372093
26.9090909090909	46.1176470588235	42.4827586206897	21.953488372093	16	20.4651162790698
16	17.8823529411765	16	.	.	16
16	.	24.8275862068966	.	22.0952380952381	16
18.7272727272727	16	.	16	16	24.9302325581395
29.6363636363636	16	16	17.4883720930233	.	.
16	.	18.7161803713528	17.4883720930233	16	23.4418604651163
.	16	.	.	.	.
16	16	16	16	16	16
16	17.8823529411765	16	16	16	16
.	38.5882352941177	35.8620689655172	.	.	.
16	25.4117647058824	.	16	16	.
16	.	.	.	.	16
21.4545454545455	16	.	.	16	.
16	.	.	.	.	.
26.9090909090909	55.5294117647059	31.448275862069	.	.	.
.	31.0588235294118	.	.	.	18.9767441860465
16	16	16	16	16	16
18.7272727272727	.	16	16	16	18.9767441860465
.	16	29.2413793103448	45.7674418604651	35.8095238095238	42.7906976744186
.	17.8823529411765	16	.	.	57.6744186046512
24.1818181818182	23.5294117647059	31.448275862069	24.9302325581395	23.6190476190476	21.953488372093
18.7272727272727	23.5294117647059	16	16	17.5238095238095	33.8604651162791
18.7272727272727	17.8823529411765	16	16	16	23.4418604651163
59.6363636363636	21.6470588235294	.	.	23.6190476190476	47.2558139534884
18.7272727272727	17.8823529411765	18.2068965517241	16	16	16
18.7272727272727	.	.	.	.	.
16	.	.	.	.	17.4883720930233
.	34.8235294117647	22.6206896551724	30.8837209302326	.	.
.	.	.	.	.	.
16	16	16	16	16	16
35.0909090909091	.	.	.	.	.
.	16	16	17.4883720930233	.	.
16	16	16	.	16	.
.	16	16	16	.	16
16	16	16	16	.	16
16	16	16	16	16	16
24.1818181818182	19.7647058823529	16	16	20.5714285714286	24.9302325581395
21.4545454545455	.	.	.	.	.
24.1818181818182	19.7647058823529	42.4827586206897	.	.	.
.	.	.	.	.	.
.	.	.	.	.	.
29.6363636363636	16	16	26.4186046511628	17.5238095238095	35.3488372093023
.	16	16	.	.	16
35.0909090909091	23.5294117647059	.	.	58.6666666666667	38.3255813953488
18.7272727272727	.	16	17.4883720930233	.	.
16	16	16	16	.	16
.	.	.	20.4651162790698	22.0952380952381	18.9767441860465
18.7272727272727	16	16	21.953488372093	17.5238095238095	16
16	16	16	16	16	16
.	16	16	16	16	35.3488372093023
32.3636363636364	.	.	.	.	.
.	.	22.6206896551724	17.4883720930233	16	17.4883720930233
21.4545454545455	16	.	.	.	.
16	16	.	.	.	17.4883720930233
16	29.1764705882353	.	.	.	17.4883720930233
51.4545454545455	42.3529411764706	68.9655172413793	38.3255813953488	.	65.1162790697675
16	16	16	16	16	16
18.7272727272727	.	16	.	.	.
21.4545454545455	16	16	.	.	.
.	16	16	16	16	16
.	.	.	.	.	.
18.7272727272727	.	.	.	.	.
16	16	16	16	17.5238095238095	24.9302325581395
21.4545454545455	16	.	.	.	.
16	16	18.2068965517241	16	18.4380952380952	.
18.7272727272727	16	16	16	16	16
43.2727272727273	25.4117647058824	27.0344827586207	26.4186046511628	20.5714285714286	36.8372093023256
.	16	.	.	.	.
37.8181818181818	40.4705882352941	.	.	.	.
